doc_idxs,tokens,tags,clidxs,base_forms
ru-110,"Азия Норин , известная как Азия Биби восемь лет заключения .",B_PER I_PER O O O B_PER I_PER O O O O,B_PER-Asia-Bibi I_PER-Asia-Bibi O O O B_PER-Asia-Bibi I_PER-Asia-Bibi O O O O,Азия Норин O O O Азия Биби O O O O
ru-110,Теперь она планирует покинуть Пакистан ва исламских фундаменталистов .,O O O O B_LOC O O O O,O O O O B_GPE-Pakistan O O O O,O O O O Пакистан O O O O
ru-110,"Верховный суд в Исламабаде признал ее невиновной , однако сторонники жестокого наказания за богохульство в очередной раз устроили протесты с требованиями казнить женщину .",B_ORG I_ORG I_ORG I_ORG O O O O O O O O O O O O O O O O O O O O,B_ORG-Supreme-Court-of-Pakistan I_ORG-Supreme-Court-of-Pakistan I_ORG-Supreme-Court-of-Pakistan I_ORG-Supreme-Court-of-Pakistan O O O O O O O O O O O O O O O O O O O O,Верховный суд в Исламабаде O O O O O O O O O O O O O O O O O O O O
ru-110,Под суд Норин в 2010 году после ссоры с соседями .,O O B_PER O O O O O O O O,O O B_PER-Asia-Bibi O O O O O O O O,O O Норин O O O O O O O O
ru-110,"Мусульманки , вместе с которыми она собирала фрукты , отказались пить из ведра с водой , из которого пила она .",O O O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O O O O O
ru-110,"Завязалась перебранка , в ходе которой , по обвинению соседок , Норин",O O O O O O O O O O O B_PER,O O O O O O O O O O O B_PER-Asia-Bibi,O O O O O O O O O O O Норин
ru-110,"Потом ее избили рядом с собственным домом , затем она была арестована .",O O O O O O O O O O O O O,O O O O O O O O O O O O O,O O O O O O O O O O O O O
ru-110,"Свою вину в богохульстве женщина отрицала все восемь лет , что длилось разбирательство по ее делу .",O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O
ru-110,"Всякий раз , когда проходило слушание , у здания суда собиралась толпа активистов , требовавших казнить Азию Биби",O O O O O O O O O O O O O O O O B_PER I_PER,O O O O O O O O O O O O O O O O B_PER-Asia-Bibi I_PER-Asia-Bibi,O O O O O O O O O O O O O O O O Азия Биби
ru-110,Преследование за богохульство широко поддерживается населением Пакистан,O O O O O O B_LOC,O O O O O O B_GPE-Pakistan,O O O O O O Пакистан
ru-110,"Критики жестоких наказаний в рамках этой нормы говорят , что она часто используется как средство мести в личных конфликтах , а обвинения порой базируются на очень слабых доказательствах .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
ru-110,"Тем не менее пакистанские политики часто поддерживают суровую кару за неуважение к вере , чтобы сохранять популярность у электората .",O O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O O O O
ru-110,"Как пишет « Би-би-си ство пока ни разу не казнило осужденных за богохульство , однако многие обвиняемые по этой статье в итоге были убиты или стали жертвами самосуда .",O O O B_ORG O O O O O O O O O O O O O O O O O O O O O O O O O,O O O B_ORG-BBC-Ltd O O O O O O O O O O O O O O O O O O O O O O O O O,O O O Би-би-си O O O O O O O O O O O O O O O O O O O O O O O O O
ru-110,В 2011 году в Исламабаде губернатор провинции Пенджаб,O O O O B_LOC O O B_LOC,O O O O B_GPE-Islamabad O O B_GPE-Punjab,O O O O Исламабад O O Пенджаб
ru-110,Мотивом к убийству послужило его критическое отношение к закону о богохульстве и предложение помиловать Азию Биби,O O O O O O O O O O O O O O B_PER I_PER,O O O O O O O O O O O O O O B_PER-Asia-Bibi I_PER-Asia-Bibi,O O O O O O O O O O O O O O Азия Биби
ru-123,Суд в Пакистане ил смертный приговор для христианки Асии Биби,O O B_LOC O O O O O B_PER I_PER,O O B_GPE-Pakistan O O O O O B_PER-Asia-Bibi I_PER-Asia-Bibi,O O Пакистан O O O O O Асия Биби
ru-123,"Женщину обвинили в оскорблении пророка Мухаммеда ла мусульманкам воды , которая по их мнению стала нечистой от прикосновения христианки к кувшину .",O O O O O B_PER O O O O O O O O O O O O O O O O,O O O O O B_PER-Prophet-Muhammad O O O O O O O O O O O O O O O O,O O O O O Мухаммед O O O O O O O O O O O O O O O O
ru-123,Осуждённая отрицала свою вину .,O O O O O,O O O O O,O O O O O
ru-123,Решение суда вызвало протесты в ряде городов Пакистана,O O O O O O O B_LOC,O O O O O O O B_GPE-Pakistan,O O O O O O O Пакистан
ru-123,Несогласные с вердиктом перекрыли дороги .,O O O O O O,O O O O O O,O O O O O O
ru-123,В столице страны - Исламабаде опасности .,O O O O B_LOC O O,O O O O B_GPE-Islamabad O O,O O O O Исламабад O O
ru-123,Ряд политиков призвали к отставке правительства .,O O O O O O O,O O O O O O O,O O O O O O O
ru-123,"Асия Биби стала первой женщиной , приговорённой в Пакистане",B_PER I_PER O O O O O O B_LOC,B_PER-Asia-Bibi I_PER-Asia-Bibi O O O O O O B_GPE-Pakistan,Асия Биби O O O O O O Пакистан
ru-123,Обвинения в оскорблении мусульманского пророка вызвали несогласия в ряде государств .,O O O O O O O O O O O,O O O O O O O O O O O,O O O O O O O O O O O
ru-123,"В 2012 году власти Франции ь предоставить осуждённой политическое убежище , а патриарх Московский Кирилл",O O O O B_LOC O O O O O O O O O B_PER,O O O O B_GPE-France O O O O O O O O O B_PER-Kirill-The-Patriarch-of-Moscow-and-all-Ru,O O O O Франция O O O O O O O O O Кирилл
ru-2019-1,", 12 : 34 REGNUM ря в Верховном Суде Пакистана е по резонансному делу христианки Асии Биби",O O O O B_ORG O O B_ORG I_ORG I_ORG O O O O O B_PER I_PER,O O O O B_ORG-REGNUM-News-Agency O O B_ORG-Supreme-Court-of-Pakistan I_ORG-Supreme-Court-of-Pakistan I_ORG-Supreme-Court-of-Pakistan O O O O O B_PER-Asia-Bibi I_PER-Asia-Bibi,O O O O REGNUM O O Верховный Суд Пакистана O O O O O Асия Биби
ru-2019-1,По сообщению пакистанского телеканала Samaa TV ущее решение о невиновности Биби,O O O O B_ORG I_ORG O O O O B_PER,O O O O B_ORG-Samaa-TV I_ORG-Samaa-TV O O O O B_PER-Asia-Bibi,O O O O Samaa TV O O O O Биби
ru-2019-1,"Председатель Верховного суда са заявил , что в пользу виновности Асии Биби под присягой , что могло бы привести их к пожизненному сроку , если бы дело не было столь щепетильным .",O B_ORG I_ORG O O O O O O O B_PER I_PER O O O O O O O O O O O O O O O O O O O O,O B_ORG-Supreme-Court-of-Pakistan I_ORG-Supreme-Court-of-Pakistan O O O O O O O B_PER-Asia-Bibi I_PER-Asia-Bibi O O O O O O O O O O O O O O O O O O O O,O Верховный суд O O O O O O O Асия Биби O O O O O O O O O O O O O O O O O O O O
ru-2019-1,"Председатель суда также отметил , что в рассмотрении дела Биби рое не предусматривает наказания без доказательств вины .",O O O O O O O O O B_PER O O O O O O O O,O O O O O O O O O B_PER-Asia-Bibi O O O O O O O O,O O O O O O O O O Биби O O O O O O O O
ru-2019-1,Христианка Асия Биби дана Верховным судом лу о богохульстве ( ей грозила смертная казнь ) .,O B_PER I_PER O B_ORG I_ORG O O O O O O O O O O,O B_PER-Asia-Bibi I_PER-Asia-Bibi O B_ORG-Supreme-Court-of-Pakistan I_ORG-Supreme-Court-of-Pakistan O O O O O O O O O O,O Асия Биби O Верховный суд O O O O O O O O O O
